CPF,NOME,MES_ANO,GASTO_TOTAL,LIMITE_DE_COMPRA,DIFERENCA
7771579779,"Marcelo Mattos",15-01,24879,20000,12%
8502682733,"Valdeci da Silva",15-01,21986,19000,12%
5840119709,"Gabriel Araujo",15-01,23106,21000,11%
94387575700,"Walber Lontra",15-01,22180,12000,18%
5576228758,"Petra Oliveira",15-01,21563,16000,13%
19290992743,"Fernando Cavalcante",15-01,25366,20000,13%
492472718,"Eduardo Jorge",15-01,17615,9500,19%
2600586709,"César Teixeira",15-02,22949,22000,10%
94387575700,"Walber Lontra",15-02,17373,12000,14%
492472718,"Eduardo Jorge",15-02,17072,9500,18%
5576228758,"Petra Oliveira",15-02,19103,16000,12%
94387575700,"Walber Lontra",15-03,20041,12000,17%
5648641702,"Paulo César Mattos",15-03,24390,22000,11%
19290992743,"Fernando Cavalcante",15-03,21572,20000,11%
5576228758,"Petra Oliveira",15-03,21399,16000,13%
8502682733,"Valdeci da Silva",15-03,21989,19000,12%
492472718,"Eduardo Jorge",15-03,15178,9500,16%
7771579779,"Marcelo Mattos",15-03,20096,20000,10%
3623344710,"Marcos Nougeuira",15-04,22151,22000,10%
7771579779,"Marcelo Mattos",15-04,21444,20000,11%
94387575700,"Walber Lontra",15-04,20697,12000,17%
492472718,"Eduardo Jorge",15-04,18821,9500,20%
5840119709,"Gabriel Araujo",15-04,22882,21000,11%
8502682733,"Valdeci da Silva",15-04,20949,19000,11%
5576228758,"Petra Oliveira",15-04,23971,16000,15%
19290992743,"Fernando Cavalcante",15-04,23578,20000,12%
492472718,"Eduardo Jorge",15-05,24918,9500,26%
19290992743,"Fernando Cavalcante",15-05,22616,20000,11%
2600586709,"César Teixeira",15-05,24722,22000,11%
1471156710,"Érica Carvalho",15-05,26385,24500,11%
5648641702,"Paulo César Mattos",15-05,24004,22000,11%
94387575700,"Walber Lontra",15-05,21992,12000,18%
5840119709,"Gabriel Araujo",15-05,25343,21000,12%
5576228758,"Petra Oliveira",15-05,25110,16000,16%
7771579779,"Marcelo Mattos",15-05,23681,20000,12%
2600586709,"César Teixeira",15-06,23158,22000,11%
5648641702,"Paulo César Mattos",15-06,24192,22000,11%
492472718,"Eduardo Jorge",15-06,23361,9500,25%
5576228758,"Petra Oliveira",15-06,19484,16000,12%
7771579779,"Marcelo Mattos",15-06,20883,20000,10%
94387575700,"Walber Lontra",15-06,18564,12000,15%
94387575700,"Walber Lontra",15-07,20665,12000,17%
492472718,"Eduardo Jorge",15-07,21721,9500,23%
8719655770,"Carlos Eduardo",15-07,24904,24000,10%
19290992743,"Fernando Cavalcante",15-07,21914,20000,11%
5576228758,"Petra Oliveira",15-07,23628,16000,15%
5840119709,"Gabriel Araujo",15-07,22175,21000,11%
7771579779,"Marcelo Mattos",15-07,25224,20000,13%
8502682733,"Valdeci da Silva",15-07,21291,19000,11%
94387575700,"Walber Lontra",15-08,19493,12000,16%
5648641702,"Paulo César Mattos",15-08,22501,22000,10%
1471156710,"Érica Carvalho",15-08,24926,24500,10%
8502682733,"Valdeci da Silva",15-08,22096,19000,12%
19290992743,"Fernando Cavalcante",15-08,22322,20000,11%
7771579779,"Marcelo Mattos",15-08,21405,20000,11%
492472718,"Eduardo Jorge",15-08,20481,9500,22%
5840119709,"Gabriel Araujo",15-08,21257,21000,10%
5576228758,"Petra Oliveira",15-08,20057,16000,13%
8502682733,"Valdeci da Silva",15-09,20966,19000,11%
5648641702,"Paulo César Mattos",15-09,23716,22000,11%
492472718,"Eduardo Jorge",15-09,19641,9500,21%
94387575700,"Walber Lontra",15-09,23456,12000,20%
5576228758,"Petra Oliveira",15-09,20835,16000,13%
5840119709,"Gabriel Araujo",15-09,22673,21000,11%
5576228758,"Petra Oliveira",15-10,19605,16000,12%
8502682733,"Valdeci da Silva",15-10,24774,19000,13%
5840119709,"Gabriel Araujo",15-10,24408,21000,12%
7771579779,"Marcelo Mattos",15-10,21221,20000,11%
19290992743,"Fernando Cavalcante",15-10,24015,20000,12%
94387575700,"Walber Lontra",15-10,21299,12000,18%
2600586709,"César Teixeira",15-10,23595,22000,11%
492472718,"Eduardo Jorge",15-10,20385,9500,21%
5576228758,"Petra Oliveira",15-11,23127,16000,14%
8502682733,"Valdeci da Silva",15-11,19586,19000,10%
492472718,"Eduardo Jorge",15-11,26308,9500,28%
94387575700,"Walber Lontra",15-11,23718,12000,20%
5648641702,"Paulo César Mattos",15-11,22665,22000,10%
19290992743,"Fernando Cavalcante",15-11,23887,20000,12%
2600586709,"César Teixeira",15-12,24873,22000,11%
5648641702,"Paulo César Mattos",15-12,24819,22000,11%
5840119709,"Gabriel Araujo",15-12,24172,21000,12%
94387575700,"Walber Lontra",15-12,21286,12000,18%
492472718,"Eduardo Jorge",15-12,19557,9500,21%
7771579779,"Marcelo Mattos",15-12,20256,20000,10%
8502682733,"Valdeci da Silva",15-12,20367,19000,11%
5576228758,"Petra Oliveira",15-12,19228,16000,12%
8502682733,"Valdeci da Silva",16-01,22873,19000,12%
5840119709,"Gabriel Araujo",16-01,21194,21000,10%
50534475787,"Abel Silva ",16-01,26541,26000,10%
94387575700,"Walber Lontra",16-01,17294,12000,14%
3623344710,"Marcos Nougeuira",16-01,24876,22000,11%
5648641702,"Paulo César Mattos",16-01,24129,22000,11%
5576228758,"Petra Oliveira",16-01,22881,16000,14%
19290992743,"Fernando Cavalcante",16-01,20843,20000,10%
7771579779,"Marcelo Mattos",16-01,21591,20000,11%
492472718,"Eduardo Jorge",16-01,23999,9500,25%
5576228758,"Petra Oliveira",16-02,21055,16000,13%
8502682733,"Valdeci da Silva",16-02,22007,19000,12%
2600586709,"César Teixeira",16-02,23282,22000,11%
94387575700,"Walber Lontra",16-02,17416,12000,15%
492472718,"Eduardo Jorge",16-02,21627,9500,23%
3623344710,"Marcos Nougeuira",16-02,24280,22000,11%
3623344710,"Marcos Nougeuira",16-03,23203,22000,11%
8502682733,"Valdeci da Silva",16-03,22510,19000,12%
94387575700,"Walber Lontra",16-03,24028,12000,20%
19290992743,"Fernando Cavalcante",16-03,21030,20000,11%
492472718,"Eduardo Jorge",16-03,23410,9500,25%
5576228758,"Petra Oliveira",16-03,24647,16000,15%
5840119709,"Gabriel Araujo",16-03,21879,21000,10%
7771579779,"Marcelo Mattos",16-03,21830,20000,11%
19290992743,"Fernando Cavalcante",16-04,23084,20000,12%
94387575700,"Walber Lontra",16-04,22840,12000,19%
3623344710,"Marcos Nougeuira",16-04,22092,22000,10%
5576228758,"Petra Oliveira",16-04,20067,16000,13%
5648641702,"Paulo César Mattos",16-04,22108,22000,10%
492472718,"Eduardo Jorge",16-04,19454,9500,20%
8502682733,"Valdeci da Silva",16-04,21353,19000,11%
7771579779,"Marcelo Mattos",16-04,22679,20000,11%
492472718,"Eduardo Jorge",16-05,21844,9500,23%
5576228758,"Petra Oliveira",16-05,23160,16000,14%
5840119709,"Gabriel Araujo",16-05,22825,21000,11%
94387575700,"Walber Lontra",16-05,20344,12000,17%
8502682733,"Valdeci da Silva",16-05,22702,19000,12%
5648641702,"Paulo César Mattos",16-05,22180,22000,10%
19290992743,"Fernando Cavalcante",16-05,24752,20000,12%
3623344710,"Marcos Nougeuira",16-05,22645,22000,10%
5840119709,"Gabriel Araujo",16-06,21548,21000,10%
492472718,"Eduardo Jorge",16-06,25886,9500,27%
8502682733,"Valdeci da Silva",16-06,23751,19000,13%
1471156710,"Érica Carvalho",16-06,25042,24500,10%
19290992743,"Fernando Cavalcante",16-06,21354,20000,11%
5576228758,"Petra Oliveira",16-06,22750,16000,14%
7771579779,"Marcelo Mattos",16-06,21379,20000,11%
2600586709,"César Teixeira",16-06,22248,22000,10%
94387575700,"Walber Lontra",16-06,24197,12000,20%
3623344710,"Marcos Nougeuira",16-06,23633,22000,11%
7771579779,"Marcelo Mattos",16-07,22531,20000,11%
19290992743,"Fernando Cavalcante",16-07,23269,20000,12%
94387575700,"Walber Lontra",16-07,23890,12000,20%
2600586709,"César Teixeira",16-07,23986,22000,11%
5840119709,"Gabriel Araujo",16-07,21695,21000,10%
492472718,"Eduardo Jorge",16-07,19228,9500,20%
5576228758,"Petra Oliveira",16-07,23906,16000,15%
8502682733,"Valdeci da Silva",16-07,23234,19000,12%
5648641702,"Paulo César Mattos",16-08,23088,22000,10%
8502682733,"Valdeci da Silva",16-08,20249,19000,11%
5576228758,"Petra Oliveira",16-08,23330,16000,15%
